times,arima_forecast_mean,ha_arima_forecast_upper95,ha_arima_forecast_lower95,ha_arima_forecast_upper80,ha_arima_forecast_lower_80,mydata.headache.test_start_index.test_end_index.
2014-08-23 00:57:00-07:00,0,1.566443932,-1.566443932,1.024242633,-1.024242633,0
2014-08-23 00:58:00-07:00,0,1.579890049,-1.579890049,1.033034577,-1.033034577,0
2014-08-23 00:59:00-07:00,0,1.593222691,-1.593222691,1.041752323,-1.041752323,0
2014-08-23 01:00:00-07:00,0,1.606444682,-1.606444682,1.050397719,-1.050397719,0
2014-08-23 01:01:00-07:00,0,1.619558734,-1.619558734,1.058972536,-1.058972536,0
2014-08-23 01:02:00-07:00,0,1.632567447,-1.632567447,1.067478476,-1.067478476,0
2014-08-23 01:03:00-07:00,0,1.645473319,-1.645473319,1.075917173,-1.075917173,0
2014-08-23 01:04:00-07:00,0,1.658278752,-1.658278752,1.084290195,-1.084290195,0
2014-08-23 01:05:00-07:00,0,1.670986055,-1.670986055,1.092599054,-1.092599054,0
2014-08-23 01:06:00-07:00,0,1.68359745,-1.68359745,1.100845201,-1.100845201,0
2014-08-23 01:07:00-07:00,0,1.696115075,-1.696115075,1.109030037,-1.109030037,0
2014-08-23 01:08:00-07:00,0,1.708540993,-1.708540993,1.117154908,-1.117154908,0
2014-08-23 01:09:00-07:00,0,1.720877189,-1.720877189,1.125221113,-1.125221113,0
2014-08-23 01:10:00-07:00,0,1.73312558,-1.73312558,1.133229905,-1.133229905,0
2014-08-23 01:11:00-07:00,0,1.745288014,-1.745288014,1.141182493,-1.141182493,0
2014-08-23 01:12:00-07:00,0,1.757366275,-1.757366275,1.149080044,-1.149080044,0
2014-08-23 01:13:00-07:00,0,1.769362089,-1.769362089,1.156923685,-1.156923685,0
2014-08-23 01:14:00-07:00,0,1.78127712,-1.78127712,1.164714505,-1.164714505,0
2014-08-23 01:15:00-07:00,0,1.793112978,-1.793112978,1.172453557,-1.172453557,0
2014-08-23 01:16:00-07:00,0,1.804871222,-1.804871222,1.180141859,-1.180141859,0
2014-08-23 01:17:00-07:00,0,1.816553359,-1.816553359,1.187780397,-1.187780397,0
2014-08-23 01:18:00-07:00,0,1.828160846,-1.828160846,1.195370126,-1.195370126,0
2014-08-23 01:19:00-07:00,0,1.839695099,-1.839695099,1.202911968,-1.202911968,0
2014-08-23 01:20:00-07:00,0,1.851157484,-1.851157484,1.210406819,-1.210406819,0
2014-08-23 01:21:00-07:00,0,1.86254933,-1.86254933,1.217855547,-1.217855547,0
2014-08-23 01:22:00-07:00,0,1.873871923,-1.873871923,1.225258992,-1.225258992,0
2014-08-23 01:23:00-07:00,0,1.88512651,-1.88512651,1.232617971,-1.232617971,0
2014-08-23 01:24:00-07:00,0,1.896314303,-1.896314303,1.239933276,-1.239933276,0
2014-08-23 01:25:00-07:00,0,1.907436476,-1.907436476,1.247205674,-1.247205674,0
