"","result.num.exposures","result.num.outcomes","result.estimator","result.g.method","result.g.sl.cands","result.g.winning.cands","result.g.num.folds","result.g.num.splits","result.Q.method","result.Q.sl.cands","result.Q.num.folds","result.Q.num.splits","result.Q.type","result.Q.type.1","result.main.time","result.g.time","result.Q.time","result.g.sl.time","result.Q.sl.time","result.g.sl.cand.times","result.Q.sl.cand.times"
"polymars",85,1,"TMLE","main.terms.logistic",NA,NA,NA,NA,"sl","polymars",5,1,"continuous.outcome","continuous.outcome",485.736777067184,12.2320187091827,473.16475725174,NA,428.677685260773,NA,109.439167976379
"lars",85,1,"TMLE","main.terms.logistic",NA,NA,NA,NA,"sl","lars",5,1,"continuous.outcome","continuous.outcome",485.736777067184,12.2320187091827,473.16475725174,NA,428.677685260773,NA,299.509500265121
"main.terms.linear",85,1,"TMLE","main.terms.logistic",NA,NA,NA,NA,"sl","main.terms.linear",5,1,"continuous.outcome","continuous.outcome",485.736777067184,12.2320187091827,473.16475725174,NA,428.677685260773,NA,19.4490168094635
